Bisection Method
n	x			f(x)			approx. error
0	3.5000		-0.6250			----
1	3.7500		2.3125			0.0667
2	3.6250		0.6867			0.0345
3	3.5625		-0.0069			0.0175
4	3.5938		0.3303			0.0087
5	3.5781		0.1593			0.0044
6	3.5703		0.0756			0.0022
7	3.5664		0.0342			0.0011
8	3.5645		0.0136			0.0005
9	3.5635		0.0033			0.0003
10	3.5630		-0.0018			0.0001
11	3.5632		0.0008			0.0001

Newton-Raphson Method
n	x			f(x)			approx. error
0	3.0000		-3.2000			----
1	5.1333		48.0901			0.4156
2	4.2698		12.9562			0.2023
3	3.7929		2.9476			0.1257
4	3.5998		0.3980			0.0536
5	3.5643		0.0124			0.0100
6	3.5632		0.0000			0.0003
7	3.5632		0.0000			0.0000

Secant Method
n	x			f(x)			approx. error
0	3.0000		-3.2000			----
1	3.3265		-1.9689			0.0982
2	3.8487		3.8338			0.1357
3	3.5037		-0.5904			0.0506
4	3.5796		0.1751			0.0212
5	3.5622		-0.0097			0.0049
6	3.5631		-0.0001			0.0003
7	3.5632		0.0000			0.0000

False-Position Method
n	x			f(x)			approx. error
0	3.3265		-1.9689			----
1	3.4813		-0.7959			0.0444
2	3.5371		-0.2671			0.0158
3	3.5551		-0.0840			0.0051
4	3.5607		-0.0259			0.0016
5	3.5624		-0.0079			0.0005
6	3.5629		-0.0024			0.0001
7	3.5631		-0.0007			0.0000

Modified Secant Method
n	x			f(x)			approx. error
0	3.0000		-3.2000			----
1	4.8926		35.7632			0.3868
2	4.1429		9.7305			0.1809
3	3.7423		2.2031			0.1071
4	3.5911		0.3004			0.0421
5	3.5647		0.0162			0.0074
6	3.5632		0.0005			0.0004
7	3.5632		0.0000			0.0000
