Bisection Method
n	x			f(x)			approx. error
0	0.5000		1.1750			----
1	0.2500		-1.2750			1.0000
2	0.3750		0.0977			0.3333
3	0.3125		-0.5503			0.2000
4	0.3438		-0.2169			0.0909
5	0.3594		-0.0573			0.0435
6	0.3672		0.0208			0.0213
7	0.3633		-0.0181			0.0108
8	0.3652		0.0014			0.0053
9	0.3643		-0.0084			0.0027
10	0.3647		-0.0035			0.0013
11	0.3650		-0.0011			0.0007
12	0.3651		0.0001			0.0003
13	0.3651		-0.0005			0.0002
14	0.3651		-0.0002			0.0001

Newton-Raphson
n	x			f(x)			approx. error
0	0.7500		2.5375			----
1	0.0301		-4.4771			23.8824
2	0.2935		-0.7624			0.8973
3	0.3607		-0.0442			0.1863
4	0.3651		-0.0002			0.0121
5	0.3651		-0.0000			0.0001

Secant Method
n	x			f(x)			approx. error
0	1.0000		3.0000			----
1	0.6250		1.9805			0.6000
2	-0.1034		-6.9585			7.0417
3	0.4636		0.8904			0.3481
4	0.3318		-0.3425			0.3974
5	0.3684		0.0327			0.0994
6	0.3652		0.0010			0.0087
7	0.3651		-0.0000			0.0003
8	0.3651		0.0000			0.0000

False-Position
n	x			f(x)			approx. error
0	0.6250		1.9805			----
1	0.4477		0.7585			0.3961
2	0.3887		0.2298			0.1517
3	0.3716		0.0646			0.0460
4	0.3669		0.0178			0.0129
5	0.3656		0.0049			0.0036
6	0.3652		0.0013			0.0010
7	0.3651		0.0004			0.0003
8	0.3651		0.0001			0.0001

Modified Secant
n	x			f(x)			approx. error
0	0.7500		2.5375			----
1	0.0190		-4.6685			38.5437
2	0.2895		-0.8078			0.9345
3	0.3604		-0.0473			0.1966
4	0.3651		-0.0001			0.0129
5	0.3651		0.0000			0.0000
